New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Inflation-Adjusted $),Albany -  NY (Inflation-Adjusted $),Buffalo -  NY (Inflation-Adjusted $),Rochester -  NY (Inflation-Adjusted $),Long Beach -  CA (Inflation-Adjusted $),Los Angeles -  CA (Inflation-Adjusted $),San Francisco -  CA (Inflation-Adjusted $),Sacramento -  CA (Inflation-Adjusted $),San Diego -  CA (Inflation-Adjusted $),San Jose -  CA (Inflation-Adjusted $),Ft  Lauderdale -  FL (Inflation-Adjusted $),Miami -  FL (Inflation-Adjusted $),Tampa -  FL (Inflation-Adjusted $),Harrisburg -  PA (Inflation-Adjusted $)_y,Philadelphia -  PA (Inflation-Adjusted $)_y,Pittsburgh -  PA (Inflation-Adjusted $)_y,Birmingham -  AL (Inflation-Adjusted $),Huntsville -  AL (Inflation-Adjusted $),Little Rock -  AR (Inflation-Adjusted $),Denver -  CO (Inflation-Adjusted $),Phoenix -  AZ (Inflation-Adjusted $),Tucson -  AZ (Inflation-Adjusted $),Atlanta -  GA (Inflation-Adjusted $),Hartford -  CT (Inflation-Adjusted $),Savannah -  GA (Inflation-Adjusted $),Chicago O'Hare -  IL (Inflation-Adjusted $),Des Moines -  IA (Inflation-Adjusted $),Indianapolis -  IN (Inflation-Adjusted $),Lexington -  KY (Inflation-Adjusted $)_y,Louisville -  KY (Inflation-Adjusted $)_y,Wichita -  KS (Inflation-Adjusted $)_y,Baltimore -  MD (Inflation-Adjusted $),New Orleans -  LA (Inflation-Adjusted $),Portland -  ME (Inflation-Adjusted $),Detroit -  MI (Inflation-Adjusted $)_y,Flint -  MI (Inflation-Adjusted $)_y,Minneapolis/St  Paul -  MN (Inflation-Adjusted $)_y,Detroit -  MI (Inflation-Adjusted $),Flint -  MI (Inflation-Adjusted $),Minneapolis/St  Paul -  MN (Inflation-Adjusted $),Las Vegas -  NV (Inflation-Adjusted $),Omaha -  NE (Inflation-Adjusted $),Reno -  NV (Inflation-Adjusted $),Atlantic City -  NJ (Inflation-Adjusted $),Manchester -  NH (Inflation-Adjusted $),Newark-Liberty -  NJ (Inflation-Adjusted $),Albuquerque -  NM (Inflation-Adjusted $),Greensboro/High Point -  NC (Inflation-Adjusted $),Raleigh/Durham -  NC (Inflation-Adjusted $),Oklahoma City -  OK (Inflation-Adjusted $),Portland -  OR (Inflation-Adjusted $),Tulsa -  OK (Inflation-Adjusted $),Charleston -  SC (Inflation-Adjusted $),Greenville/Spartanburg -  SC (Inflation-Adjusted $),Providence -  RI (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Inflation-Adjusted $)_y,Houston Bush -  TX (Inflation-Adjusted $)_y,San Antonio -  TX (Inflation-Adjusted $)_y,Norfolk/Virginia Beach -  VA (Inflation-Adjusted $),Richmond -  VA (Inflation-Adjusted $),Salt Lake City -  UT (Inflation-Adjusted $),Bellingham -  WA (Inflation-Adjusted $),Madison -  WI (Inflation-Adjusted $),Milwaukee -  WI (Inflation-Adjusted $)
432.71,434.02,372.78,463.09,340.2,448.62,257.43,445.01,447.2,386.92,394.07,376.49,291.22,401.72,339.8,497.99,436.29,405.01,427.58,0.0,440.67,352.88,361.32,394.2,388.95,448.85,521.42,423.82,455.88,419.82,0.0,423.33,423.92,353.29,390.51,453.1,439.51,0.0,470.42,439.51,0.0,470.42,292.64,400.06,373.82,148.59,403.93,527.18,393.33,476.4,383.95,448.75,398.79,481.51,478.79,442.81,397.18,468.73,561.93,419.01,440.15,448.62,429.49,274.39,485.91,353.53
456.03,454.03,396.96,461.55,350.84,462.58,262.12,459.38,475.07,393.19,406.53,383.82,299.67,398.79,346.83,501.14,433.89,406.03,435.79,0.0,431.57,360.14,374.32,410.83,404.42,450.7,530.7,436.0,434.35,421.32,0.0,430.01,447.12,357.04,405.01,436.87,455.49,0.0,473.8,455.49,0.0,473.8,300.41,415.52,366.91,176.54,409.06,544.57,400.93,460.69,391.22,454.48,409.54,482.33,469.49,441.72,401.86,455.84,563.32,427.11,441.54,462.58,440.81,325.26,528.2,372.45
461.3,466.27,400.34,479.41,374.6,459.68,245.28,444.19,461.25,389.87,385.8,367.6,317.9,431.82,359.2,484.03,447.11,411.35,455.27,0.0,442.54,357.92,372.76,410.11,422.09,449.16,549.61,435.95,454.29,432.91,0.0,447.37,491.05,363.67,417.06,436.74,463.3,0.0,500.48,463.3,0.0,500.48,305.13,434.88,376.28,187.95,395.9,541.38,384.28,468.96,389.83,452.29,395.34,496.55,465.34,458.95,376.74,463.39,560.37,426.03,451.35,459.68,458.29,315.0,527.02,399.23
448.87,441.48,401.77,467.73,346.89,463.26,262.49,452.95,475.93,418.35,401.1,381.28,304.66,409.06,353.43,491.61,449.63,431.66,452.68,0.0,436.97,358.82,384.47,422.54,424.58,458.56,546.61,431.07,442.87,438.1,0.0,447.65,439.27,349.62,392.03,435.38,458.77,0.0,484.25,458.77,0.0,484.25,284.87,427.5,390.62,176.69,399.56,526.1,380.43,494.48,412.64,451.79,407.38,484.75,437.6,451.47,379.36,462.02,545.66,431.68,451.04,463.26,443.66,232.35,517.92,389.8
462.25,460.63,409.86,497.68,355.49,473.69,275.82,466.64,476.21,428.15,415.13,388.57,319.18,421.26,378.13,498.28,459.61,449.1,485.2,0.0,460.97,369.98,400.58,427.12,476.83,456.31,546.61,455.33,444.44,457.06,0.0,452.45,440.6,367.43,391.7,456.06,481.36,0.0,499.91,481.36,0.0,499.91,292.99,419.41,398.29,173.06,390.77,542.6,396.67,495.67,424.81,466.62,404.06,494.62,439.72,457.64,370.75,463.86,559.82,443.95,464.67,473.69,459.51,229.64,533.01,399.96
480.36,481.25,431.44,479.38,362.37,465.51,275.32,459.41,480.23,409.4,409.95,373.74,319.95,427.16,363.39,465.59,455.36,434.36,466.15,0.0,436.47,363.32,385.76,428.82,441.94,422.74,532.12,454.69,412.24,430.0,0.0,430.54,429.54,363.48,393.8,431.14,471.07,0.0,459.22,471.07,0.0,459.22,282.33,415.26,383.89,194.0,384.19,552.24,392.06,468.84,412.29,443.4,395.94,469.67,439.51,411.91,375.61,453.47,551.02,434.73,451.12,465.51,457.55,255.01,530.51,380.33
467.39,473.16,420.98,469.31,370.35,446.28,258.23,435.26,446.22,394.47,390.63,345.96,325.67,454.14,368.82,469.08,454.97,431.74,486.72,0.0,442.71,367.57,384.33,416.96,444.63,413.89,518.58,454.22,430.67,435.92,0.0,447.06,447.52,362.33,393.92,432.94,457.4,0.0,467.55,457.4,0.0,467.55,289.14,431.22,392.78,168.08,399.26,529.84,397.94,470.3,409.36,451.77,382.37,476.2,434.33,440.44,374.33,470.21,543.0,427.58,429.43,446.28,471.9,239.99,545.51,392.03
464.19,451.96,432.47,487.01,357.16,462.23,271.98,467.77,478.56,426.57,419.19,381.83,325.69,438.99,364.51,502.11,472.07,442.28,488.32,0.0,453.54,366.83,399.57,434.75,472.84,433.62,471.74,456.29,432.13,452.63,0.0,462.47,451.13,376.48,403.45,441.81,474.31,0.0,475.37,474.31,0.0,475.37,297.91,437.09,401.17,203.93,426.84,533.75,424.55,494.09,419.33,458.95,393.62,476.17,447.73,451.14,402.19,471.52,550.53,442.98,483.87,462.23,452.09,209.04,556.06,393.46
478.52,479.21,431.88,494.71,368.3,473.86,283.5,460.52,474.44,417.02,409.31,377.47,325.8,439.57,371.11,488.77,473.14,448.36,482.65,0.0,469.49,366.69,394.17,430.71,476.61,435.5,482.84,460.55,427.73,453.08,0.0,458.14,445.25,373.29,390.88,476.1,473.83,0.0,484.29,473.83,0.0,484.29,287.63,431.53,397.54,179.69,417.42,548.71,427.93,499.74,424.14,465.74,400.53,477.93,433.45,460.26,393.64,462.04,544.04,441.67,501.11,473.86,435.66,200.75,551.26,397.97
481.94,489.23,439.84,486.34,370.84,476.85,282.47,475.66,497.94,408.58,415.22,377.87,315.68,451.28,365.47,477.16,475.02,442.5,473.77,0.0,460.22,367.89,388.04,447.31,457.98,432.56,481.91,443.09,428.89,460.02,0.0,462.01,429.5,372.92,392.24,447.73,470.87,0.0,473.61,470.87,0.0,473.61,284.93,440.47,395.79,185.38,414.41,534.57,430.1,485.5,427.52,454.02,413.77,466.77,427.47,439.65,396.61,451.06,512.55,443.45,506.03,476.85,435.05,257.19,552.04,407.85
