New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Inflation-Adjusted $),Albany -  NY (Inflation-Adjusted $),Buffalo -  NY (Inflation-Adjusted $),Rochester -  NY (Inflation-Adjusted $),Long Beach -  CA (Inflation-Adjusted $),Los Angeles -  CA (Inflation-Adjusted $),San Francisco -  CA (Inflation-Adjusted $),Sacramento -  CA (Inflation-Adjusted $),San Diego -  CA (Inflation-Adjusted $),San Jose -  CA (Inflation-Adjusted $),Ft  Lauderdale -  FL (Inflation-Adjusted $),Miami -  FL (Inflation-Adjusted $),Tampa -  FL (Inflation-Adjusted $),Harrisburg -  PA (Inflation-Adjusted $)_y,Philadelphia -  PA (Inflation-Adjusted $)_y,Pittsburgh -  PA (Inflation-Adjusted $)_y,Birmingham -  AL (Inflation-Adjusted $),Huntsville -  AL (Inflation-Adjusted $),Little Rock -  AR (Inflation-Adjusted $),Denver -  CO (Inflation-Adjusted $),Phoenix -  AZ (Inflation-Adjusted $),Tucson -  AZ (Inflation-Adjusted $),Atlanta -  GA (Inflation-Adjusted $),Hartford -  CT (Inflation-Adjusted $),Savannah -  GA (Inflation-Adjusted $),Chicago O'Hare -  IL (Inflation-Adjusted $),Des Moines -  IA (Inflation-Adjusted $),Indianapolis -  IN (Inflation-Adjusted $),Lexington -  KY (Inflation-Adjusted $)_y,Louisville -  KY (Inflation-Adjusted $)_y,Wichita -  KS (Inflation-Adjusted $)_y,Baltimore -  MD (Inflation-Adjusted $),New Orleans -  LA (Inflation-Adjusted $),Portland -  ME (Inflation-Adjusted $),Detroit -  MI (Inflation-Adjusted $)_y,Flint -  MI (Inflation-Adjusted $)_y,Minneapolis/St  Paul -  MN (Inflation-Adjusted $)_y,Detroit -  MI (Inflation-Adjusted $),Flint -  MI (Inflation-Adjusted $),Minneapolis/St  Paul -  MN (Inflation-Adjusted $),Las Vegas -  NV (Inflation-Adjusted $),Omaha -  NE (Inflation-Adjusted $),Reno -  NV (Inflation-Adjusted $),Atlantic City -  NJ (Inflation-Adjusted $),Manchester -  NH (Inflation-Adjusted $),Newark-Liberty -  NJ (Inflation-Adjusted $),Albuquerque -  NM (Inflation-Adjusted $),Greensboro/High Point -  NC (Inflation-Adjusted $),Raleigh/Durham -  NC (Inflation-Adjusted $),Oklahoma City -  OK (Inflation-Adjusted $),Portland -  OR (Inflation-Adjusted $),Tulsa -  OK (Inflation-Adjusted $),Charleston -  SC (Inflation-Adjusted $),Greenville/Spartanburg -  SC (Inflation-Adjusted $),Providence -  RI (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Inflation-Adjusted $)_y,Houston Bush -  TX (Inflation-Adjusted $)_y,San Antonio -  TX (Inflation-Adjusted $)_y,Norfolk/Virginia Beach -  VA (Inflation-Adjusted $),Richmond -  VA (Inflation-Adjusted $),Salt Lake City -  UT (Inflation-Adjusted $),Bellingham -  WA (Inflation-Adjusted $),Madison -  WI (Inflation-Adjusted $),Milwaukee -  WI (Inflation-Adjusted $)
400.93,422.03,343.97,428.12,337.48,470.83,223.57,385.76,428.37,398.61,372.28,339.31,254.17,331.22,331.35,494.96,412.12,391.91,496.49,0.0,471.7,313.84,354.19,410.84,374.74,410.97,432.6,342.46,404.84,373.4,0.0,456.52,421.89,341.04,324.02,430.85,395.69,0.0,396.59,395.69,0.0,396.59,261.03,398.9,360.44,0.0,401.39,433.82,402.59,489.62,388.81,433.27,343.07,446.56,404.23,451.78,379.84,391.68,428.62,404.07,468.68,443.23,378.28,0.0,534.16,357.38
376.45,403.62,313.48,421.52,327.33,436.25,216.58,358.94,380.0,365.69,339.75,319.23,241.48,317.52,321.65,480.59,389.08,353.46,480.93,0.0,468.1,293.43,336.7,396.44,356.25,381.21,391.87,308.02,390.34,353.04,0.0,415.16,405.95,323.87,297.1,421.92,368.8,0.0,375.78,368.8,0.0,375.78,237.67,369.03,355.74,0.0,383.1,412.36,379.44,439.68,361.78,410.08,329.38,422.93,379.3,428.87,348.69,370.18,402.33,381.6,443.61,470.83,352.28,0.0,487.33,334.29
398.44,426.13,345.45,413.13,327.13,438.87,205.64,376.07,402.34,350.56,347.73,315.0,247.48,305.28,320.09,461.56,403.65,363.42,473.01,0.0,447.31,315.13,342.39,402.9,370.6,388.6,424.0,338.71,397.41,365.23,0.0,409.48,417.79,322.71,308.64,395.63,388.65,0.0,381.87,388.65,0.0,381.87,244.21,378.69,348.15,0.0,389.26,429.21,365.11,444.84,369.84,406.13,343.72,408.0,386.57,421.04,333.09,374.96,434.12,375.54,432.48,436.25,366.45,0.0,499.63,347.71
389.2,412.64,332.63,407.87,328.78,431.9,189.59,349.73,378.87,339.35,329.08,291.38,254.6,331.3,310.96,427.17,393.0,354.57,472.01,0.0,453.72,310.4,333.05,395.06,374.88,371.74,424.38,354.1,395.52,353.15,0.0,404.62,414.53,322.76,311.18,386.45,395.24,0.0,404.6,395.24,0.0,404.6,251.62,375.34,350.15,0.0,384.07,423.08,341.88,461.48,361.55,406.11,338.36,411.73,392.88,443.33,320.59,395.63,436.54,372.97,430.87,438.87,373.73,0.0,502.09,341.19
375.77,389.66,333.57,419.04,310.57,423.34,213.8,362.73,387.74,361.74,337.09,312.96,246.7,326.28,320.2,414.33,383.46,357.17,459.95,0.0,444.77,311.72,349.36,406.36,367.27,395.6,392.91,337.47,395.9,351.43,0.0,411.73,418.14,324.98,316.3,387.92,375.99,0.0,371.58,375.99,0.0,371.58,247.66,377.65,357.1,0.0,391.67,405.11,358.83,459.45,356.93,400.41,338.45,409.93,370.3,453.09,334.49,386.25,425.1,379.32,432.37,431.9,369.31,0.0,481.28,343.11
371.16,384.62,327.71,402.52,309.71,400.07,233.15,357.14,375.63,347.15,329.56,306.69,244.92,318.38,317.36,409.37,380.67,357.02,449.37,0.0,427.81,303.61,350.19,403.04,366.51,378.44,367.24,336.27,380.17,348.41,0.0,393.32,397.64,323.04,300.04,368.93,368.06,0.0,368.4,368.06,0.0,368.4,236.6,351.46,365.03,0.0,387.74,403.91,349.91,439.31,344.12,390.53,328.21,396.7,348.56,423.46,323.21,382.14,414.61,352.86,410.4,423.34,358.48,0.0,460.35,339.81
402.95,420.08,359.49,379.77,312.88,402.62,249.86,379.21,416.83,345.41,346.33,314.9,263.26,338.03,320.82,409.57,403.51,369.96,445.85,0.0,424.89,318.48,358.22,404.09,375.97,389.31,379.32,366.09,388.72,370.14,0.0,383.22,399.77,338.74,312.49,357.07,396.71,0.0,385.35,396.71,0.0,385.35,253.99,361.88,351.61,0.0,391.13,429.5,367.39,431.79,353.86,390.92,348.38,403.74,358.65,411.35,346.62,414.5,427.3,361.98,408.96,400.07,377.47,0.0,459.64,358.68
381.03,392.8,334.74,392.5,314.3,392.23,220.43,342.67,387.68,323.32,320.69,284.95,270.48,345.87,310.38,393.61,388.57,359.63,452.17,0.0,414.65,310.45,346.43,372.88,386.37,371.69,398.66,362.53,380.06,369.46,0.0,385.84,395.7,326.62,308.42,352.87,400.17,0.0,402.72,400.17,0.0,402.72,251.17,362.06,347.94,0.0,380.45,412.93,359.06,426.44,345.48,387.19,337.54,400.49,370.62,414.2,338.24,414.54,430.21,357.4,399.01,402.62,396.16,0.0,439.34,354.5
390.33,405.75,337.85,393.68,322.08,410.58,232.71,367.1,407.99,351.54,337.36,302.87,266.92,350.94,318.22,0.0,382.44,360.63,453.6,0.0,428.67,302.77,362.48,402.69,378.24,386.21,373.27,350.03,379.55,360.82,0.0,386.18,400.24,335.48,308.44,381.07,381.67,0.0,366.69,381.67,0.0,366.69,251.66,376.99,354.87,0.0,399.89,421.14,388.85,430.94,343.83,399.28,344.82,410.86,364.48,411.61,350.36,411.75,413.42,370.66,413.2,392.23,379.78,0.0,443.7,350.35
371.09,397.12,322.86,394.07,315.3,392.79,236.82,353.86,384.32,335.45,324.13,298.34,252.33,332.87,308.96,0.0,356.54,355.83,444.18,0.0,421.28,291.34,351.28,398.7,364.43,379.88,340.93,335.61,389.14,362.46,0.0,379.74,395.0,323.1,285.62,376.72,362.41,0.0,347.93,362.41,0.0,347.93,237.58,373.46,352.56,0.0,395.38,397.12,365.44,409.51,313.16,392.18,334.44,404.19,339.11,408.43,335.77,398.08,396.1,355.06,396.17,410.58,368.97,0.0,442.7,349.16
398.58,429.92,355.72,367.26,325.61,394.16,243.12,373.66,421.98,338.85,339.21,305.64,251.25,325.76,308.12,0.0,372.07,361.54,446.32,0.0,415.8,311.19,347.55,392.54,369.51,387.43,369.95,347.04,394.45,364.89,0.0,380.18,397.67,325.48,291.73,370.22,383.58,0.0,364.44,383.58,0.0,364.44,242.33,381.48,344.23,0.0,391.23,413.69,370.82,416.3,331.7,392.81,349.69,409.34,355.95,397.54,339.05,403.07,408.18,365.53,410.75,392.79,376.76,0.0,459.28,354.88
360.86,388.19,323.66,0.0,319.06,374.11,213.87,328.17,371.76,308.99,303.99,272.38,243.16,314.31,290.46,0.0,364.3,342.28,424.36,0.0,397.42,295.96,321.07,349.23,359.58,356.73,379.69,332.05,366.56,333.39,0.0,369.67,382.82,308.59,287.37,348.39,362.02,0.0,368.08,362.02,0.0,368.08,233.78,360.9,336.1,0.0,372.19,369.92,343.84,396.7,322.21,373.83,308.35,391.95,353.88,387.86,322.52,400.52,394.33,359.31,383.17,394.16,364.52,0.0,403.76,339.95
360.86,388.19,323.66,0.0,319.06,374.11,213.87,328.17,371.76,308.99,303.99,272.38,243.16,314.31,290.46,0.0,364.3,342.28,424.36,0.0,397.42,295.96,321.07,349.23,359.58,356.73,379.69,332.05,366.56,333.39,0.0,369.67,382.82,308.59,287.37,348.39,362.02,0.0,368.08,362.02,0.0,368.08,233.78,360.9,336.1,0.0,372.19,369.92,343.84,396.7,322.21,373.83,308.35,391.95,353.88,387.86,322.52,400.52,394.33,359.31,0.0,374.11,0.0,0.0,403.76,339.95
New York City - Greater ,New York JFK -  NY ,New York LaGuardia -  NY ,Albany -  NY ,Buffalo -  NY ,Rochester -  NY ,Long Beach -  CA ,Los Angeles -  CA ,San Francisco -  CA ,Sacramento -  CA ,San Diego -  CA ,San Jose -  CA ,Ft  Lauderdale -  FL ,Miami -  FL ,Tampa -  FL ,Harrisburg -  PA ,Philadelphia -  PA ,Pittsburgh -  PA ,Birmingham -  AL ,Huntsville -  AL ,Little Rock -  AR ,Denver -  CO ,Phoenix -  AZ ,Tucson -  AZ ,Atlanta -  GA ,Hartford -  CT ,Savannah -  GA ,Chicago O'Hare -  IL ,Des Moines -  IA ,Indianapolis -  IN ,Lexington -  KY ,Louisville -  KY ,Wichita -  KS ,Baltimore -  MD ,New Orleans -  LA ,Portland -  ME ,Detroit -  MI ,Flint -  MI ,Minneapolis/St  Paul -  MN ,Detroit -  MI ,Flint -  MI ,Minneapolis/St  Paul -  MN ,Las Vegas -  NV ,Omaha -  NE ,Reno -  NV ,Atlantic City -  NJ ,Manchester -  NH ,Newark-Liberty -  NJ ,Albuquerque -  NM ,Greensboro/High Point -  NC ,Raleigh/Durham -  NC ,Oklahoma City -  OK ,Portland -  OR ,Tulsa -  OK ,Charleston -  SC ,Greenville/Spartanburg -  SC ,Providence -  RI ,Dallas-Fort Worth -  TX ,Houston Bush -  TX ,San Antonio -  TX ,Norfolk/Virginia Beach -  VA ,Richmond -  VA ,Salt Lake City -  UT ,Bellingham -  WA ,Madison -  WI ,Milwaukee -  WI 
