DOMESTIC FLIGHTS QUARTERLY NET INCOME,LATIN AMERICA FLIGHTS QUARTERLY NET INCOME,ATLANTIC FLIGHTS QUARTERLY NET INCOME,PACIFIC FLIGHTS QUARTERLY NET INCOME,INTERNATIONAL FLIGHTS QUARTERLY NET INCOME,TOTAL,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon,Total Dom. Passenger Flights,Total Intl. Passenger Flights,Total Passenger Flights,Total Dom. Passenger Enplanements,Total Intl. Passenger Enplanements,Total Passenger Enplanements,Total Dom. Revenue Miles,Total Intl Revenue Miles,Total Revenue Miles,Total Dom. Revenue Seat Miles,Total Intl Revenue Seat Miles,Total Revenue Seat Miles,Total Dom. Freight Ton Miles,Total Intl Freight Ton Miles,Total Freight Ton Miles,Total Dom. Revenue Ton Miles,Total Intl Revenue Ton Miles,Total Revenue Ton Miles,PERIOD
2147207,-59773,299871,-198500,-42398,2146407,2.7895909090909092,702752,72941,775693.0,37114,15914,53028.0,47481331,20972206,68453537.0,57449050,26889329,84338379.0,86507,454170,540677.0,4862580,2583848,7446428.0,April 2013
2147207,-59773,299871,-198500,-42398,2146407,2.730714285714286,733311,74535,807846.0,39344,15763,55107.0,50271250,23303284,73574534.0,59369559,28412016,87781575.0,94018,475143,569161.0,5149693,2841172,7990865.0,May 2013
2147207,-59773,299871,-198500,-42398,2146407,2.767952380952381,734271,76699,810970.0,37169,15177,52346.0,52965778,25501353,78467131.0,61035249,29644626,90679875.0,92343,478461,570804.0,5411141,3064854,8475995.0,June 2013
2384395,125408,620320,83532,9086,3222741,2.9047727272727273,767885,81626,849511.0,37627,15807,53434.0,54893575,27081008,81974583.0,63618417,31528460,95146877.0,89227,458685,547912.0,5605170,3200692,8805862.0,July 2013
2384395,125408,620320,83532,9086,3222741,3.0041428571428574,765428,78954,844382.0,40278,15588,55866.0,53306554,26701233,80007787.0,62485029,30953030,93438059.0,90579,456336,546915.0,5448203,3161359,8609562.0,August 2013
2384395,125408,620320,83532,9086,3222741,2.9266666666666663,697871,65201,763072.0,34143,14719,48862.0,44859576,22343483,67203059.0,55630468,27107338,82737806.0,86959,457702,544661.0,4600488,2725846,7326334.0,September 2013
5763127,156472,899296,610054,-41253,7387696,2.8863478260869564,719596,68029,787625.0,41276,16116,57392.0,48055109,21672261,69727370.0,58222416,27063033,85285449.0,89877,517248,607125.0,4928296,2721787,7650083.0,October 2013
5763127,156472,899296,610054,-41253,7387696,2.8309999999999995,664920,66805,731725.0,36621,15707,52328.0,44606606,19004589,63611195.0,55805048,24783807,80588855.0,86146,502250,588396.0,4579654,2442866,7022520.0,November 2013
5763127,156472,899296,610054,-41253,7387696,2.9551904761904773,669833,72863,742696.0,43104,15101,58205.0,49330650,21636388,70967038.0,58129723,26394011,84523734.0,88488,456982,545470.0,5058549,2668355,7726904.0,December 2013
926580,22305,-269343,-145495,15751,549797,2.9209047619047617,633080,72622,705702.0,38296,14884,53180.0,43771219,20972402,64743621.0,54415335,26676237,81091572.0,80259,425344,505603.0,4491480,2556034,7047514.0,January 2014
926580,22305,-269343,-145495,15751,549797,2.9648947368421052,585863,67083,652946.0,35448,13652,49100.0,40717033,17757862,58474895.0,49699120,23890483,73589603.0,76793,428842,505635.0,4178279,2234844,6413123.0,February 2014
926580,22305,-269343,-145495,15751,549797,2.886727272727273,706276,79898,786174.0,37568,15406,52974.0,52078324,22158847,74237171.0,61070069,28136741,89206810.0,91867,533499,625366.0,5332531,2785286,8117817.0,March 2014
3467788,-54932,521443,-120602,35687,3849384,2.890047619047619,686333,75047,761380.0,39166,15052,54218.0,49433047,21845645,71278692.0,58385529,27535355,85920884.0,86398,481014,567412.0,5060937,2700592,7761529.0,April 2014
3467788,-54932,521443,-120602,35687,3849384,2.86855,707130,76569,783699.0,39756,15383,55139.0,51679674,24033020,75712694.0,60047986,29488588,89536574.0,91176,518281,609457.0,5290093,2956591,8246684.0,May 2014
3467788,-54932,521443,-120602,35687,3849384,2.8819999999999997,718495,80204,798699.0,37744,15189,52933.0,54158901,25904454,80063355.0,62123102,30990290,93113392.0,91105,520186,611291.0,5532612,3145423,8678035.0,June 2014
2828108,-75577,633410,96429,40277,3522647,2.8154090909090908,754317,85109,839426.0,40558,16121,56679.0,57002502,27402039,84404541.0,65054639,32815551,97870190.0,90248,546119,636367.0,5820763,3319635,9140398.0,July 2014
2828108,-75577,633410,96429,40277,3522647,2.8397999999999994,743806,80666,824472.0,39655,15384,55039.0,54821319,27136240,81957559.0,63227531,32034159,95261690.0,88635,515757,604392.0,5601571,3265027,8866598.0,August 2014
2828108,-75577,633410,96429,40277,3522647,2.7344,680553,65666,746219.0,36926,14471,51397.0,46525529,22503328,69028857.0,56823511,27904639,84728150.0,85986,511210,597196.0,4768444,2798663,7567107.0,September 2014
1422907,-131575,-342098,-468313,37883,518805,2.444428571428572,706025,66720,772745.0,41986,16168,58154.0,50325343,21562498,71887841.0,59976145,27371920,87348065.0,91429,555520,646949.0,5159594,2750868,7910462.0,October 2014
1422907,-131575,-342098,-468313,37883,518805,2.2867499999999996,659366,67696,727062.0,37112,15403,52515.0,46547045,19107240,65654285.0,57299276,25340651,82639927.0,86092,519172,605264.0,4774718,2470034,7244752.0,November 2014
1422907,-131575,-342098,-468313,37883,518805,1.7875714285714286,675234,74395,749629.0,48196,15450,63646.0,50471102,21762536,72233638.0,60585339,27211533,87796872.0,86842,490259,577101.0,5173312,2717563,7890875.0,December 2014
3055504,213705,152544,79301,43486,3544541,1.4955500000000002,643318,73576,716894.0,38161,14783,52944.0,45309148,21229279,66538427.0,57332443,27244730,84577173.0,78930,448114,527044.0,4648528,2607307,7255835.0,January 2015
3055504,213705,152544,79301,43486,3544541,1.7662105263157895,579701,65931,645632.0,36077,13963,50040.0,42399307,17932036,60331343.0,51571087,24074630,75645717.0,85675,484887,570562.0,4358952,2309533,6668485.0,February 2015
3055504,213705,152544,79301,43486,3544541,1.6272173913043473,694014,76396,770410.0,38595,15957,54552.0,54092109,22178943,76271052.0,63194929,28139170,91334099.0,92135,538539,630674.0,5538630,2793282,8331912.0,March 2015
4678728,158598,655387,201055,38855,5732622,1.7147142857142856,680243,74193,754436.0,39788,15448,55236.0,52027990,21579269,73607259.0,61425958,28304599,89730557.0,84093,490845,574938.0,5325405,2683763,8009168.0,April 2015
4678728,158598,655387,201055,38855,5732622,1.8472499999999996,702404,74859,777263.0,38958,15069,54027.0,54422765,24079589,78502354.0,63741512,30110911,93852423.0,86935,499695,586630.0,5567068,2943432,8510500.0,May 2015
4678728,158598,655387,201055,38855,5732622,1.7265,711573,77388,788961.0,39722,15227,54949.0,57163783,26089624,83253407.0,65598575,31220287,96818862.0,89146,504106,593252.0,5842541,3148796,8991337.0,June 2015
6494263,604630,1683382,888611,-15769,9655117,1.535238095238095,749397,82901,832298.0,41053,15720,56773.0,60563817,28387846,88951663.0,68844703,33423189,102267892.0,84873,504379,589252.0,6181705,3378998,9560703.0,July 2015
6494263,604630,1683382,888611,-15769,9655117,1.389590909090909,741260,79592,820852.0,39229,14405,53634.0,57965844,27890123,85855967.0,67031387,32731463,99762850.0,84586,491768,576354.0,5919429,3315575,9235004.0,August 2015
6494263,604630,1683382,888611,-15769,9655117,1.3929523809523807,672803,65306,738109.0,40242,15122,55364.0,50045430,22972298,73017728.0,59869761,28527699,88397460.0,80902,491333,572235.0,5122651,2823315,7945966.0,September 2015
6983407,25921,407138,-7333,38520,7447652,1.3903333333333334,698048,66594,764642.0,42734,15503,58237.0,54283082,22394974,76678056.0,62955593,27787204,90742797.0,84205,536469,620674.0,5553964,2813167,8367131.0,October 2015
6983407,25921,407138,-7333,38520,7447652,1.3224545454545455,659494,66144,725638.0,37490,15125,52615.0,51099823,19360241,70460064.0,60815989,25015862,85831851.0,82141,490182,572323.0,5227894,2464557,7692451.0,November 2015
6983407,25921,407138,-7333,38520,7447652,1.0726086956521736,666651,74241,740892.0,51376,15013,66389.0,53275254,22052620,75327874.0,63543808,27675970,91219778.0,84928,472812,557740.0,5455226,2726522,8181748.0,December 2015
2856167,362407,43896,226726,5922,3495119,0.9304,644770,73874,718644.0,39282,14392,53674.0,48236665,21541992,69778657.0,60020676,27409535,87430211.0,66621,430853,497474.0,4929205,2620721,7549926.0,January 2016
2856167,362407,43896,226726,5922,3495119,0.9727000000000002,621336,68838,690174.0,38155,13660,51815.0,46611600,18414618,65026218.0,57811421,25217888,83029309.0,71710,439497,511207.0,4762767,2312129,7074896.0,February 2016
2856167,362407,43896,226726,5922,3495119,1.0695,706698,77364,784062.0,43969,14994,58963.0,56859309,22262449,79121758.0,66819543,28331006,95150549.0,74453,497075,571528.0,5786008,2760634,8546642.0,March 2016
4229096,279168,326080,257402,2399,5094145,1.1545999999999998,684225,74377,758602.0,41089,14871,55960.0,53770248,21847175,75617423.0,64096501,28608025,92704526.0,86146,496983,583129.0,5486066,2718623,8204689.0,April 2016
4229096,279168,326080,257402,2399,5094145,1.2990454545454546,713538,75425,788963.0,39665,14721,54386.0,57255603,23971383,81226986.0,66834450,30576616,97411066.0,87712,511072,598784.0,5838387,2944567,8782954.0,May 2016
4229096,279168,326080,257402,2399,5094145,1.384409090909091,725740,78250,803990.0,42903,15033,57936.0,60426725,26615375,87042100.0,69132012,31848514,100980526.0,92546,505188,597734.0,6166196,3202840,9369036.0,June 2016
3407438,266508,351436,163709,6472,4195563,1.2501,744785,83163,827948.0,40740,14756,55496.0,62465229,28791604,91256833.0,71800707,33862509,105663216.0,89679,515090,604769.0,6372170,3431405,9803575.0,July 2016
3407438,266508,351436,163709,6472,4195563,1.3015652173913044,747399,78605,826004.0,43453,15216,58669.0,59429934,27278584,86708518.0,70312972,32829822,103142794.0,91130,489293,580423.0,6069398,3254520,9323918.0,August 2016
3407438,266508,351436,163709,6472,4195563,1.3210000000000002,686697,65461,752158.0,41872,14894,56766.0,52861742,22873428,75735170.0,62913367,28511866,91425233.0,88164,519872,608036.0,5409953,2844694,8254647.0,September 2016
2861738,141921,-91411,-168870,81537,2824916,1.4549090909090907,699667,66030,765697.0,41537,15194,56731.0,55553135,22237634,77790769.0,65248336,28075405,93323741.0,95407,587769,683176.0,5690639,2850396,8541035.0,October 2016
2861738,141921,-91411,-168870,81537,2824916,1.3588636363636364,668097,63654,731751.0,43042,15521,58563.0,53486298,19138761,72625059.0,63306954,24562304,87869258.0,89529,518356,607885.0,5477636,2472211,7949847.0,November 2016
2861738,141921,-91411,-168870,81537,2824916,1.4903499999999998,670236,74618,744854.0,52025,14954,66979.0,54954842,22356136,77310978.0,66043128,27803786,93846914.0,90302,511985,602287.0,5632850,2797502,8430352.0,December 2016
2647152,61452,-134888,-240086,-15375,2318254,1.5124761904761905,653444,73884,727328.0,39647,14575,54222.0,50319086,21557183,71876269.0,63525708,27655803,91181511.0,87041,475520,562561.0,5159117,2666586,7825703.0,January 2017
2647152,61452,-134888,-240086,-15375,2318254,1.5466842105263159,600832,66114,666946.0,38480,13294,51774.0,46656963,18009097,64666060.0,57834126,24513250,82347376.0,81381,481277,562658.0,4783023,2314356,7097379.0,February 2017
2647152,61452,-134888,-240086,-15375,2318254,1.4416363636363638,707188,76266,783454.0,45158,15799,60957.0,58996313,22315683,81311996.0,69188558,28685575,97874133.0,98024,574848,672872.0,6038731,2845504,8884235.0,March 2017
5046701,152157,115185,-259166,-59347,4995529,1.5015000000000005,683214,74802,758016.0,40843,14301,55144.0,56472165,23463686,79935851.0,66449589,29392670,95842259.0,93058,561076,654134.0,5780464,2945099,8725563.0,April 2017
5046701,152157,115185,-259166,-59347,4995529,1.408409090909091,718125,75464,793589.0,43579,15490,59069.0,59176066,24762938,83939004.0,69176361,31212384,100388745.0,98902,595178,694080.0,6056218,3110369,9166587.0,May 2017
5046701,152157,115185,-259166,-59347,4995529,1.2916190476190477,731718,79172,810890.0,45253,15505,60758.0,62649839,27480643,90130482.0,72055296,32674120,104729416.0,104060,600455,704515.0,6408593,3387696,9796289.0,June 2017
3575301,380782,19548,-87092,13447,3901986,1.42835,753012,84922,837934.0,41726,15059,56785.0,65170842,29470279,94641121.0,75137589,34694068,109831657.0,97304,616590,713894.0,6655524,3602474,10257998.0,July 2017
3575301,380782,19548,-87092,13447,3901986,1.5803913043478262,749836,78921,828757.0,47311,15797,63108.0,62673950,28306912,90980862.0,73584280,33355783,106940063.0,102975,592411,695386.0,6412432,3461858,9874290.0,August 2017
3575301,380782,19548,-87092,13447,3901986,1.7787894736842105,666189,62442,728631.0,42871,14424,57295.0,52077506,23014781,75092287.0,63581279,28988847,92570126.0,94718,598799,693517.0,5340618,2940028,8280646.0,September 2017
5752299,156080,-227641,-255386,163358,5588711,1.660260869565217,703534,66848,770382.0,45147,15591,60738.0,58497446,22670593,81168039.0,68529628,29189434,97719062.0,100967,656084,757051.0,5991126,2963981,8955107.0,October 2017
5752299,156080,-227641,-255386,163358,5588711,1.7640454545454545,666797,64826,731623.0,47144,16175,63319.0,56112502,20011696,76124198.0,65640367,25736560,91376927.0,95668,591768,687436.0,5749013,2636351,8385364.0,November 2017
5752299,156080,-227641,-255386,163358,5588711,1.8181578947368422,675954,73801,749755.0,53715,14763,68478.0,57173701,22863970,80037671.0,68664941,28551815,97216756.0,95891,586194,682085.0,5864319,2930214,8794533.0,December 2017
3157073,341526,319232,-399452,20232,3438610,1.9559999999999995,662448,72617,735065.0,43773,15518,59291.0,51872373,21923260,73795633.0,65965834,28123684,94089518.0,83060,521357,604417.0,5314461,2755005,8069466.0,January 2018
3157073,341526,319232,-399452,20232,3438610,1.8409000000000002,609579,66115,675694.0,40369,14236,54605.0,49636494,19037548,68674042.0,60886453,25350898,86237351.0,85752,539216,624968.0,5088713,2477499,7566212.0,February 2018
3157073,341526,319232,-399452,20232,3438610,1.8544500000000004,708988,77572,786560.0,46928,16060,62988.0,61907663,24195374,86103037.0,72152793,29767205,101919998.0,90941,636217,727158.0,6325024,3099386,9424410.0,March 2018
3745492,150583,396013,-215682,32741,4109147,2.0170909090909093,704833,75160,779993.0,42945,15301,58246.0,59513572,23495826,83009398.0,70745003,29844815,100589818.0,90535,617223,707758.0,6083261,3007760,9091021.0,April 2018
3745492,150583,396013,-215682,32741,4109147,2.15795652173913,736793,76327,813120.0,47397,16378,63775.0,62740812,25784245,88525057.0,73676106,31992696,105668802.0,100090,623866,723956.0,6415016,3242227,9657243.0,May 2018
3745492,150583,396013,-215682,32741,4109147,2.08785,746820,80629,827449.0,46413,15615,62028.0,66245773,28671501,94917274.0,75683356,33352082,109035438.0,97319,631540,728859.0,6761405,3535582,10296987.0,June 2018
3481675,336129,391801,-119818,40944,4130730,2.0964545454545456,775416,84978,860394.0,44693,15620,60313.0,69231934,30141440,99373374.0,78751026,34992017,113743043.0,93286,640838,734124.0,7056608,3689234,10745842.0,July 2018
3481675,336129,391801,-119818,40944,4130730,2.1201363636363637,773167,79064,852231.0,48919,15868,64787.0,66303275,28964949,95268224.0,77109260,33870133,110979393.0,95915,617572,713487.0,6765782,3550194,10315976.0,August 2018
3481675,336129,391801,-119818,40944,4130730,2.1952499999999997,699366,66517,765883.0,44147,15192,59339.0,55618183,23852325,79470508.0,68891206,30004887,98896093.0,87597,606543,694140.0,5686805,3027762,8714567.0,September 2018
3554690,205160,11404,-272172,80929,3580010,2.2395652173913048,734128,68392,802520.0,47232,16750,63982.0,61239639,23631334,84870973.0,72526591,29754064,102280655.0,99201,659053,758254.0,6262192,3060795,9322987.0,October 2018
3554690,205160,11404,-272172,80929,3580010,1.9445263157894732,688575,67185,755760.0,48438,16182,64620.0,59005266,20922911,79928177.0,69617177,26324324,95941501.0,93647,557676,651323.0,6034658,2692560,8727218.0,November 2018
3554690,205160,11404,-272172,80929,3580010,1.7119444444444445,698138,74868,773006.0,54263,15028,69291.0,59620147,23437800,83057947.0,72201895,28916767,101118662.0,88053,556211,644264.0,6095793,2951498,9047291.0,December 2018
2738558,269912,-146614,-143659,-25952,2692244,1.7967391304347828,676190,74581,750771.0,47458,15975,63433.0,54518477,22814065,77332542.0,69116155,28830584,97946739.0,85139,508002,593141.0,5579722,2826158,8405880.0,January 2019
2738558,269912,-146614,-143659,-25952,2692244,1.9174999999999998,615986,67140,683126.0,42751,13908,56659.0,51551387,19563608,71114995.0,63161807,25663384,88825191.0,83024,501341,584365.0,5273874,2490067,7763941.0,February 2019
2738558,269912,-146614,-143659,-25952,2692244,1.9012857142857142,738969,79741,818710.0,47188,15918,63106.0,65587135,24881841,90468976.0,76061739,30313311,106375050.0,92122,605269,697391.0,6688686,3132308,9820994.0,March 2019
4894087,337052,278518,-275831,17323,5251150,1.9814090909090902,719238,75511,794749.0,45297,15758,61055.0,62116350,24558888,86675238.0,72699892,30129463,102829355.0,86557,543881,630438.0,6335977,3036043,9372020.0,April 2019
4894087,337052,278518,-275831,17323,5251150,1.9702272727272723,751725,77263,828988.0,48525,16241,64766.0,65968843,26998494,92967337.0,75725707,32623915,108349622.0,89258,571747,661005.0,6721900,3308941,10030841.0,May 2019
4894087,337052,278518,-275831,17323,5251150,1.8215238095238095,754175,81912,836087.0,46075,15186,61261.0,68543378,29720962,98264340.0,76954590,34163184,111117774.0,89306,564478,653784.0,6977631,3572562,10550193.0,June 2019
4363439,477840,323253,-191276,-50583,4922673,1.9109565217391307,783588,85285,868873.0,48216,16228,64444.0,71407977,30874486,102282463.0,80416398,35656675,116073073.0,87041,567794,654835.0,7259199,3692100,10951299.0,July 2019
4363439,477840,323253,-191276,-50583,4922673,1.7974761904761904,784042,80925,864967.0,50152,15897,66049.0,68299968,30097999,98397967.0,79321871,34650001,113971872.0,87339,543898,631237.0,6949709,3592917,10542626.0,August 2019
4363439,477840,323253,-191276,-50583,4922673,1.8730454545454542,716792,66285,783077.0,44277,15121,59398.0,58424862,25373901,83798763.0,71092170,31007227,102099397.0,84076,553709,637785.0,5957388,3129246,9086634.0,September 2019
3738977,465079,-76833,-340004,-189151,3598068,1.861391304347826,751035,67806,818841.0,51316,16590,67906.0,63561778,24629251,88191029.0,75436333,30273034,105709367.0,89168,584994,674162.0,6481928,3089542,9571470.0,October 2019
3738977,465079,-76833,-340004,-189151,3598068,1.8227,703803,66770,770573.0,47416,15749,63165.0,59394049,21599390,80993439.0,72641829,26961682,99603511.0,88846,543549,632395.0,6064226,2746575,8810801.0,November 2019
3738977,465079,-76833,-340004,-189151,3598068,1.891772727272727,729109,74909,804018.0,56928,14118,71046.0,65460027,24911387,90371414.0,76567702,29677093,106244795.0,86948,524269,611217.0,6676211,3068007,9744218.0,December 2019
-3226298,-251044,-924756,-553586,13600,-4942084,1.769727272727273,708984,73377,782361.0,48607,15027,63634.0,57813919,23698246,81512165.0,72874850,29427102,102301952.0,81297,483816,565113.0,5901693,2893454,8795147.0,January 2020
-3226298,-251044,-924756,-553586,13600,-4942084,1.5133500000000002,668537,67801,736338.0,44918,13646,58564.0,55525935,18882143,74408078.0,68986791,25058070,94044861.0,83121,464428,547549.0,5668816,2381016,8049832.0,February 2020
-3226298,-251044,-924756,-553586,13600,-4942084,0.9401304347826086,621760,53870,675630.0,47716,15662,63378.0,32640301,10514738,43155039.0,65277923,18268938,83546861.0,71714,319769,391483.0,3366126,1390602,4756728.0,March 2020
-3226298,-251044,-924756,-553586,13600,-4942084,0.6021363636363636,219653,6059,225712.0,48940,15785,64725.0,2581214,487764,3068978.0,19640093,2010605,21650698.0,39140,79383,118523.0,312597,136398,448995.0,April 2020
