Total Dom. Cargo Flights,Total Intl. Cargo Flights,Total Cargo Flights,Total Dom. Cargo Freight Ton Miles,Total Intl. Cargo Freight Ton Miles,Total Cargo Freight Ton Miles,Total Dom. Cargo Revenue Ton Miles,Total Intl. Cargo Revenue Ton Miles,Total Cargo Revenue Ton Miles,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon
47857,16581,64438.0,1105076,1814179,2919255.0,1017900,1398608,2416508.0,3.2577
44362,16664,61026.0,1060348,1792139,2852487.0,979017,1389831,2368848.0,3.3545000000000003
49341,17450,66791.0,1141756,1865987,3007743.0,1058994,1444268,2503262.0,2.2876363636363637
42004,15894,57898.0,984931,1672969,2657900.0,909556,1307364,2216920.0,1.8674500000000003
47100,15481,62581.0,1047849,1423040,2470889.0,985517,1140441,2125958.0,1.363047619047619
40091,14744,54835.0,885322,1250347,2135669.0,822321,983327,1805648.0,1.4694
36730,14302,51032.0,822247,1259711,2081958.0,764104,982041,1746145.0,1.2595789473684207
39219,15849,55068.0,901724,1480028,2381752.0,834681,1159393,1994074.0,1.2706086956521738
39930,15270,55200.0,912405,1455908,2368313.0,842085,1143670,1985755.0,1.3715238095238096
38496,14677,53173.0,920706,1407346,2328052.0,842890,1064352,1907242.0,1.5063000000000002
39276,16239,55515.0,921253,1589295,2510548.0,847345,1244755,2092100.0,1.8065454545454545
40825,15708,56533.0,968152,1545900,2514052.0,892271,1175114,2067385.0,1.7084285714285716
38366,15243,53609.0,950764,1559279,2510043.0,871583,1191687,2063270.0,1.878363636363636
38719,15707,54426.0,1001406,1642375,2643781.0,920521,1246136,2166657.0,1.751047619047619
41185,16473,57658.0,1082832,1849857,2932689.0,996794,1402924,2399718.0,1.949619047619048
35723,16490,52213.0,1016636,1918863,2935499.0,929918,1481891,2411809.0,1.9881904761904763
44931,16481,61412.0,1170233,1804815,2975048.0,1093373,1399339,2492712.0,1.9770476190476187
36056,14896,50952.0,924389,1594678,2519067.0,844555,1205344,2049899.0,2.0475
35391,14627,50018.0,881816,1586096,2467912.0,806125,1173209,1979334.0,2.0010555555555554
39429,16761,56190.0,1040686,1904299,2944985.0,952527,1410923,2363450.0,2.116347826086957
39481,15712,55193.0,1040072,1844206,2884278.0,954915,1406386,2361301.0,2.2429
38418,16414,54832.0,1025273,1990100,3015373.0,933276,1480596,2413872.0,2.0593333333333335
40444,16910,57354.0,1041500,1939178,2980678.0,953012,1444777,2397789.0,2.0542727272727266
40712,16605,57317.0,1034667,1934216,2968883.0,951196,1439431,2390627.0,2.0247
39781,16102,55883.0,1025984,1931838,2957822.0,943194,1459979,2403173.0,2.0819565217391305
38897,16168,55065.0,1036247,1949882,2986129.0,954998,1481335,2436333.0,2.123952380952381
39711,16694,56405.0,1080190,2121855,3202045.0,993671,1598949,2592620.0,2.248809523809524
37613,16951,54564.0,1024338,2096834,3121172.0,942821,1636357,2579178.0,2.3273333333333333
47119,16506,63625.0,1166688,1993548,3160236.0,1088858,1545736,2634594.0,2.456952380952381
36256,15662,51918.0,917449,1848626,2766075.0,849642,1420726,2270368.0,2.626238095238095
35749,14821,50570.0,862380,1703692,2566072.0,795634,1263416,2059050.0,2.8592105263157896
42076,17632,59708.0,1090747,2206357,3297104.0,1011878,1696165,2708043.0,3.127391304347826
38761,16232,54993.0,997115,2071922,3069037.0,921462,1605871,2527333.0,3.2700526315789475
37617,16306,53923.0,961463,2019222,2980685.0,883206,1541151,2424357.0,3.085227272727273
41159,16562,57721.0,1013061,1961483,2974544.0,937280,1514242,2451522.0,3.040954545454546
38298,16520,54818.0,960153,2000318,2960471.0,887231,1531523,2418754.0,3.1395999999999997
40769,17308,58077.0,996468,1968382,2964850.0,924418,1539066,2463484.0,3.0056956521739138
38502,16746,55248.0,977369,1935836,2913205.0,905101,1490756,2395857.0,2.94075
37295,16807,54102.0,989903,2080018,3069921.0,915548,1601428,2516976.0,2.967772727272728
37948,16949,54897.0,991189,2036615,3027804.0,922237,1604275,2526512.0,3.0438571428571426
45001,16786,61787.0,1113386,2009822,3123208.0,1040528,1582238,2622766.0,2.8680999999999996
35191,15407,50598.0,870035,1696205,2566240.0,802235,1298795,2101030.0,3.0868095238095243
36830,15833,52663.0,911819,1802456,2714275.0,841925,1372366,2214291.0,3.21685
40270,17691,57961.0,1052254,2147977,3200231.0,967537,1638343,2605880.0,3.25495238095238
36322,16540,52862.0,936974,1957514,2894488.0,860938,1497332,2358270.0,3.2267142857142863
39703,17346,57049.0,1011949,2014668,3026617.0,929180,1532609,2461789.0,2.9485454545454544
39062,16023,55085.0,996466,1998603,2995069.0,913143,1528681,2441824.0,2.6777500000000005
36714,16378,53092.0,944542,1962199,2906741.0,867084,1495126,2362210.0,2.8944090909090905
40974,16119,57093.0,1020163,1899234,2919397.0,943427,1449360,2392787.0,3.1660454545454546
35113,15634,50747.0,970214,1901104,2871318.0,895087,1447103,2342190.0,3.1890499999999995
39873,16551,56424.0,1011515,1893907,2905422.0,934566,1441752,2376318.0,3.101695652173913
38650,16391,55041.0,1043731,1951695,2995426.0,965317,1517305,2482622.0,2.96095
41424,14917,56341.0,1098972,1842827,2941799.0,1022931,1418344,2441275.0,2.93965
37638,15936,53574.0,975546,1747027,2722573.0,908274,1367751,2276025.0,3.097772727272727
34778,14464,49242.0,871060,1600458,2471518.0,805270,1201532,2006802.0,3.206
37652,15592,53244.0,1001425,1935872,2937297.0,925343,1461286,2386629.0,2.9685
37114,15914,53028.0,947289,1883812,2831101.0,876585,1454863,2331448.0,2.7895909090909092
39344,15763,55107.0,995551,1760250,2755801.0,915869,1309950,2225819.0,2.730714285714286
37169,15177,52346.0,965395,1811065,2776460.0,885681,1355627,2241308.0,2.767952380952381
37627,15807,53434.0,955799,1811590,2767389.0,879212,1376792,2256004.0,2.9047727272727273
40278,15588,55866.0,1024290,1771734,2796024.0,947625,1336976,2284601.0,3.0041428571428574
34143,14719,48862.0,936415,1753250,2689665.0,861500,1317384,2178884.0,2.9266666666666663
41276,16116,57392.0,1049793,1931892,2981685.0,973987,1436532,2410519.0,2.8863478260869564
